time,lat_deg,lon_deg,speed_kmh,원효대교,숙명여대,travelTime,speed,state,etLtsgStatNm,etStsgStatNm
162720,37.5360627,126.9728688,19.12,16.0,2.0,,,,stop-And-Remain,stop-And-Remain
162721,37.5360805,126.9728153,18.446,14.0,2.0,,,,stop-And-Remain,stop-And-Remain
162722,37.5361002,126.9727573,20.686,15.0,3.0,,,,stop-And-Remain,stop-And-Remain
162723,37.5361232,126.972691,23.796,14.0,3.0,,,,stop-And-Remain,stop-And-Remain
162724,37.5361465,126.9726195,24.923,14.0,3.0,,,,stop-And-Remain,stop-And-Remain
162725,37.5361677,126.9725525,22.932,16.0,3.0,,,,stop-And-Remain,stop-And-Remain
162726,37.5361887,126.9724887,22.14,15.0,2.0,,,,stop-And-Remain,stop-And-Remain
162727,37.5362107,126.9724275,21.74,16.0,4.0,,,,stop-And-Remain,stop-And-Remain
162728,37.536231,126.9723652,21.676,14.0,5.0,,,,stop-And-Remain,stop-And-Remain
162729,37.5362507,126.9723065,20.239,16.0,4.0,,,,stop-And-Remain,stop-And-Remain
162730,37.536269,126.9722525,18.569,16.0,5.0,,,,stop-And-Remain,stop-And-Remain
162731,37.5362842,126.9722055,15.761,14.0,3.0,,,,stop-And-Remain,stop-And-Remain
162732,37.5362972,126.9721658,13.32,15.0,3.0,,,,stop-And-Remain,stop-And-Remain
162733,37.536309,126.9721288,12.766,15.0,2.0,,,,stop-And-Remain,stop-And-Remain
162734,37.5363212,126.9720915,13.075,16.0,4.0,,,,stop-And-Remain,stop-And-Remain
162735,37.5363342,126.9720517,14.407,16.0,3.0,,,,stop-And-Remain,stop-And-Remain
162736,37.5363487,126.9720067,16.078,15.0,3.0,,,,stop-And-Remain,stop-And-Remain
162737,37.5363642,126.9719555,18.162,14.0,2.0,,,,stop-And-Remain,stop-And-Remain
162738,37.536382,126.9718987,20.243,15.0,0.0,,,,stop-And-Remain,stop-And-Remain
162739,37.5364008,126.9718388,20.833,16.0,1.0,,,,stop-And-Remain,stop-And-Remain
162740,37.5364195,126.9717797,20.243,16.0,0.0,,,,stop-And-Remain,stop-And-Remain
162741,37.5364378,126.9717222,19.854,16.0,0.0,,,,stop-And-Remain,stop-And-Remain
162742,37.5364567,126.9716628,20.718,14.0,0.0,,,,stop-And-Remain,stop-And-Remain
162743,37.5364758,126.9716007,21.661,16.0,0.0,,,,stop-And-Remain,stop-And-Remain
162744,37.536495,126.9715387,21.208,16.0,1.0,,,,stop-And-Remain,stop-And-Remain
162745,37.5365142,126.9714773,21.031,16.0,1.0,,,,stop-And-Remain,stop-And-Remain
162746,37.5365318,126.9714188,19.764,14.0,1.0,,,,stop-And-Remain,stop-And-Remain
162747,37.5365483,126.971364,18.432,18.0,2.0,,,,stop-And-Remain,stop-And-Remain
162748,37.5365645,126.9713108,18.151,19.0,1.0,,,,stop-And-Remain,stop-And-Remain
162749,37.5365808,126.9712582,18.112,16.0,1.0,,,,stop-And-Remain,stop-And-Remain
162750,37.5365967,126.9712072,17.341,18.0,3.0,,,,stop-And-Remain,stop-And-Remain
162751,37.5366118,126.9711573,17.057,18.0,3.0,,,,stop-And-Remain,stop-And-Remain
162752,37.5366272,126.971107,17.312,15.0,4.0,,,,stop-And-Remain,stop-And-Remain
162753,37.536644,126.9710543,18.594,17.0,3.0,,,,stop-And-Remain,stop-And-Remain
162754,37.5366627,126.9709967,20.401,18.0,2.0,,,,stop-And-Remain,stop-And-Remain
162755,37.5366828,126.9709328,22.464,18.0,1.0,,,,stop-And-Remain,stop-And-Remain
162756,37.5367035,126.9708645,23.713,19.0,3.0,,,,stop-And-Remain,stop-And-Remain
162757,37.5367243,126.9707952,23.71,18.0,2.0,,,,stop-And-Remain,stop-And-Remain
162758,37.536745,126.9707263,23.396,18.0,3.0,,,,stop-And-Remain,stop-And-Remain
162759,37.5367628,126.9706652,19.951,18.0,3.0,,,,stop-And-Remain,stop-And-Remain
162800,37.5367772,126.9706182,14.9,17.0,5.0,,,,stop-And-Remain,stop-And-Remain
162801,37.5367885,126.9705812,11.992,18.0,5.0,,,,stop-And-Remain,stop-And-Remain
162802,37.5367972,126.9705535,8.816,17.0,6.0,,,,stop-And-Remain,stop-And-Remain
162803,37.5368032,126.9705353,5.526,20.0,5.0,,,,stop-And-Remain,stop-And-Remain
162804,37.5368067,126.9705242,3.37,20.0,5.0,,,,stop-And-Remain,stop-And-Remain
162805,37.5368075,126.9705212,0.367,19.0,6.0,,,,stop-And-Remain,stop-And-Remain
162806,37.5368073,126.970521,0.058,18.0,4.0,,,,stop-And-Remain,stop-And-Remain
162807,37.5368077,126.9705215,0.014,19.0,7.0,,,,stop-And-Remain,stop-And-Remain
162808,37.5368078,126.9705218,0.032,19.0,6.0,,,,stop-And-Remain,stop-And-Remain
162809,37.536808,126.9705222,0.047,18.0,5.0,,,,stop-And-Remain,stop-And-Remain
162810,37.536808,126.9705225,0.058,18.0,2.0,,,,stop-And-Remain,stop-And-Remain
162811,37.536808,126.9705227,0.05,19.0,2.0,,,,stop-And-Remain,stop-And-Remain
162812,37.5368082,126.9705228,0.036,18.0,3.0,,,,stop-And-Remain,stop-And-Remain
162813,37.5368082,126.9705232,0.054,20.0,2.0,,,,stop-And-Remain,stop-And-Remain
162814,37.5368082,126.9705232,0.032,19.0,2.0,,,,stop-And-Remain,stop-And-Remain
162815,37.5368082,126.9705232,0.04,19.0,5.0,,,,stop-And-Remain,stop-And-Remain
162816,37.5368083,126.9705235,0.047,21.0,4.0,,,,stop-And-Remain,stop-And-Remain
162817,37.5368088,126.9705237,0.18,19.0,7.0,,,,stop-And-Remain,stop-And-Remain
162818,37.5368088,126.9705238,0.086,20.0,10.0,,,,stop-And-Remain,stop-And-Remain
162819,37.536809,126.970524,0.094,22.0,8.0,,,,stop-And-Remain,stop-And-Remain
162820,37.5368092,126.970524,0.058,22.0,6.0,,,,stop-And-Remain,stop-And-Remain
162821,37.5368092,126.9705242,0.022,21.0,8.0,,,,stop-And-Remain,stop-And-Remain
162822,37.536809,126.9705242,0.043,19.0,7.0,,,,stop-And-Remain,stop-And-Remain
162823,37.5368088,126.970524,0.097,21.0,5.0,,,,stop-And-Remain,stop-And-Remain
162824,37.5368093,126.9705228,0.652,20.0,7.0,,,,stop-And-Remain,stop-And-Remain
162825,37.5368115,126.9705158,3.042,17.0,6.0,,,,stop-And-Remain,stop-And-Remain
162826,37.5368155,126.9705028,4.99,21.0,7.0,,,,stop-And-Remain,stop-And-Remain
162827,37.5368218,126.9704825,7.621,17.0,3.0,,,,stop-And-Remain,stop-And-Remain
162828,37.5368308,126.9704537,10.674,19.0,1.0,,,,stop-And-Remain,stop-And-Remain
162829,37.5368425,126.9704155,13.871,19.0,3.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162830,37.5368572,126.9703675,17.158,15.0,2.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162831,37.536875,126.97031,20.502,,,,,,protected-Movement-Allowed,protected-Movement-Allowed
162832,37.5368953,126.9702452,22.723,16.0,2.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162833,37.5369163,126.9701773,23.407,16.0,0.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162834,37.5369378,126.9701073,24.07,13.0,3.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162835,37.5369595,126.9700348,24.898,14.0,2.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162836,37.5369817,126.9699595,25.823,14.0,2.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162837,37.5370048,126.9698808,27.018,12.0,1.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162838,37.5370292,126.9697988,28.192,10.0,3.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162839,37.5370548,126.9697147,28.876,10.0,1.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162840,37.5370815,126.96963,29.106,12.0,3.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162841,37.537107,126.9695468,28.238,9.0,4.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162842,37.5371323,126.9694672,26.993,11.0,4.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162843,37.5371543,126.9693938,24.433,9.0,3.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162844,37.5371747,126.969325,23.044,9.0,3.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162845,37.5371937,126.9692608,21.485,9.0,3.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
